id,estacion,linea,geometry
1,Caseros,H,POINT (-58.398930404056664 -34.63574869190404)
2,Inclan - Mezquita Al Ahmad,H,POINT (-58.400972334211815 -34.629374324650314)
3,Humberto 1°,H,POINT (-58.40232549651671 -34.62309113761142)
4,Venezuela,H,POINT (-58.404734437166375 -34.61524116028971)
5,Once - 30 De Diciembre,H,POINT (-58.40603909181976 -34.60893439989664)
6,9 De Julio,D,POINT (-58.38057816074685 -34.60424434385433)
7,Facultad De Medicina,D,POINT (-58.39792687400386 -34.59975640870826)
8,Tribunales - Teatro Colón,D,POINT (-58.38514600302589 -34.601586388942174)
9,Agüero,D,POINT (-58.407164107307096 -34.59162740214711)
10,R.Scalabrini Ortiz,D,POINT (-58.4159578817373 -34.5851556929868)
11,Plaza Italia,D,POINT (-58.421198278781375 -34.5814110535123)
12,Palermo,D,POINT (-58.42571354086816 -34.578421972901005)
13,Retiro,C,POINT (-58.37402240381632 -34.59119321488052)
14,Lavalle,C,POINT (-58.378159720315566 -34.60176910856247)
15,Diagonal Norte,C,POINT (-58.37953383769559 -34.60484286205875)
16,Av. De Mayo,C,POINT (-58.38061450046986 -34.60898234787075)
17,Moreno,C,POINT (-58.380448233244984 -34.612616229073836)
18,Independencia,C,POINT (-58.38017734615888 -34.618124421551606)
19,Constitucion,C,POINT (-58.38143804863668 -34.627618063975376)
20,Florida,B,POINT (-58.37507557490589 -34.60329642125253)
21,C. Pellegrini,B,POINT (-58.38071866341278 -34.60363626062853)
22,Uruguay,B,POINT (-58.38729966906588 -34.604092730256646)
23,Callao - Maestro Alfredo Bravo,B,POINT (-58.39231755671001 -34.604418737076664)
24,Pasteur - Amia,B,POINT (-58.39947727482585 -34.60464219201641)
25,Pueyrredon,B,POINT (-58.405402208624345 -34.6045803098221)
26,Carlos Gardel,B,POINT (-58.41176510373516 -34.604078814375725)
27,Almagro - Medrano,B,POINT (-58.42096459307871 -34.60316426400566)
28,Angel Gallardo,B,POINT (-58.431275555639985 -34.60216166561987)
29,Malabia - Osvaldo Pugliese,B,POINT (-58.439772858444194 -34.59896691493091)
30,Dorrego,B,POINT (-58.44757417574107 -34.59171790789488)
31,Peru,A,POINT (-58.3742717794385 -34.608558085581826)
32,Piedras,A,POINT (-58.37908900065684 -34.60888074907816)
33,Lima,A,POINT (-58.382236114316925 -34.60909884479506)
34,Saenz Peña,A,POINT (-58.38678071351404 -34.60941163979187)
35,Congreso - Pdte. Dr. Raúl Alfonsín,A,POINT (-58.392672097001295 -34.60922477063858)
36,Pasco,A,POINT (-58.398430018353146 -34.60964506657074)
37,Alberti,A,POINT (-58.40121044219303 -34.60983269261519)
38,Plaza De Miserere,A,POINT (-58.40670979270381 -34.60981638710716)
39,Loria,A,POINT (-58.41518802065098 -34.610780851367856)
40,Castro Barros,A,POINT (-58.42181769657279 -34.61176939995314)
41,Rio De Janeiro,A,POINT (-58.42950199987938 -34.61520474044249)
42,Acoyte,A,POINT (-58.43642989126413 -34.618279061088415)
43,Primera Junta,A,POINT (-58.44117877203333 -34.62040428161419)
44,Bolivar,E,POINT (-58.37368829690775 -34.60924142215441)
45,Belgrano,E,POINT (-58.37758476922805 -34.61284803582894)
46,Independencia - Beata Mama Antula,E,POINT (-58.381538621328296 -34.617936227173786)
47,San Jose,E,POINT (-58.38515204539739 -34.622338242309205)
48,Entre Rios - Rodolfo Walsh,E,POINT (-58.39151492466532 -34.62271843890065)
49,Pichincha,E,POINT (-58.39707106223341 -34.62310865679827)
50,Jujuy,E,POINT (-58.40293931492661 -34.62386451404442)
51,Urquiza,E,POINT (-58.4093932402834 -34.62465260251508)
52,Jose Maria Moreno,E,POINT (-58.43381765291902 -34.62801640771465)
53,Emilio Mitre,E,POINT (-58.44217173462012 -34.63104067307458)
54,Bulnes,D,POINT (-58.41129653856202 -34.58823676433706)
55,Pueyrredon,D,POINT (-58.40239831055495 -34.59442518997953)
56,Callao,D,POINT (-58.3931285025438 -34.59963885960583)
